Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/09/2021,01/01/2020,06/05/2021,By Total,,,Arizona,Other,1264,20686,866,399,,1733,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Arizona,Place of death unknown,0,0,0,0,0,0,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Arkansas,Total - All Places of Death,6018,53531,5665,2832,108,8951,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Arkansas,"Healthcare setting, inpatient",3742,16041,4076,2184,68,5699,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Arkansas,"Healthcare setting, outpatient or emergency room",216,3953,203,61,12,370,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Arkansas,"Healthcare setting, dead on arrival",10,116,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Arkansas,Decedent's home,347,17511,353,90,18,626,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Arkansas,Hospice facility,236,4940,391,126,,505,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Arkansas,Nursing home/long term care facility,1394,7970,584,353,,1628,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Arkansas,Other,73,3000,52,15,0,110,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,01/01/2020,06/05/2021,By Total,,,California,Total - All Places of Death,64716,466531,62481,38074,854,89956,
06/09/2021,01/01/2020,06/05/2021,By Total,,,California,"Healthcare setting, inpatient",47361,156298,50691,32690,708,66054,
06/09/2021,01/01/2020,06/05/2021,By Total,,,California,"Healthcare setting, outpatient or emergency room",2358,26724,1997,941,38,3451,
06/09/2021,01/01/2020,06/05/2021,By Total,,,California,"Healthcare setting, dead on arrival",13,183,,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,California,Decedent's home,5724,174822,4186,1588,63,8383,
06/09/2021,01/01/2020,06/05/2021,By Total,,,California,Hospice facility,184,6010,263,83,,365,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,California,Nursing home/long term care facility,7180,58777,4258,2303,31,9165,
06/09/2021,01/01/2020,06/05/2021,By Total,,,California,Other,1895,43711,1076,462,13,2521,
06/09/2021,01/01/2020,06/05/2021,By Total,,,California,Place of death unknown,,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Colorado,Total - All Places of Death,6815,66092,6152,3408,141,9695,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Colorado,"Healthcare setting, inpatient",3472,15956,3843,2432,72,4952,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Colorado,"Healthcare setting, outpatient or emergency room",136,2528,150,63,,230,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Colorado,"Healthcare setting, dead on arrival",,62,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Colorado,Decedent's home,752,24261,711,209,33,1287,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Colorado,Hospice facility,168,4956,309,86,,395,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Colorado,Nursing home/long term care facility,2174,14227,1034,587,24,2643,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Colorado,Other,106,4082,102,29,,180,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Colorado,Place of death unknown,0,20,0,0,0,0,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Connecticut,Total - All Places of Death,8217,50350,4393,2376,92,10323,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Connecticut,"Healthcare setting, inpatient",4624,17364,3312,1923,71,6081,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Connecticut,"Healthcare setting, outpatient or emergency room",262,3004,106,35,,335,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Connecticut,"Healthcare setting, dead on arrival",12,373,,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Connecticut,Decedent's home,344,14692,188,28,,509,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Connecticut,Hospice facility,121,1754,84,49,0,156,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Connecticut,Nursing home/long term care facility,2684,10325,653,323,14,3028,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Connecticut,Other,168,2834,44,17,0,195,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Connecticut,Place of death unknown,,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Delaware,Total - All Places of Death,1520,15114,1250,706,22,2085,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Delaware,"Healthcare setting, inpatient",937,3798,993,603,14,1340,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Delaware,"Healthcare setting, outpatient or emergency room",36,801,32,16,,53,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Delaware,"Healthcare setting, dead on arrival",0,12,0,0,0,0,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Delaware,Decedent's home,104,5870,58,20,,144,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Delaware,Hospice facility,44,1554,45,,,89,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Delaware,Nursing home/long term care facility,390,2204,116,61,,446,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Delaware,Other,,874,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Delaware,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,District of Columbia,Total - All Places of Death,1458,10344,1758,1203,12,2025,
06/09/2021,01/01/2020,06/05/2021,By Total,,,District of Columbia,"Healthcare setting, inpatient",1113,5287,1438,962,11,1600,
06/09/2021,01/01/2020,06/05/2021,By Total,,,District of Columbia,"Healthcare setting, outpatient or emergency room",65,658,57,48,0,74,
06/09/2021,01/01/2020,06/05/2021,By Total,,,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/09/2021,01/01/2020,06/05/2021,By Total,,,District of Columbia,Decedent's home,106,2548,102,71,0,137,
06/09/2021,01/01/2020,06/05/2021,By Total,,,District of Columbia,Hospice facility,34,367,37,27,0,44,
06/09/2021,01/01/2020,06/05/2021,By Total,,,District of Columbia,Nursing home/long term care facility,122,813,104,81,0,145,
06/09/2021,01/01/2020,06/05/2021,By Total,,,District of Columbia,Other,18,670,20,14,,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,District of Columbia,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Florida,Total - All Places of Death,34392,347106,38900,21035,519,52733,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Florida,"Healthcare setting, inpatient",24295,101343,27109,16465,363,35265,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Florida,"Healthcare setting, outpatient or emergency room",1086,21876,1001,433,21,1675,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Florida,"Healthcare setting, dead on arrival",13,287,,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Florida,Decedent's home,1592,100335,2112,641,40,3103,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Florida,Hospice facility,4157,60761,5829,2305,74,7751,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Florida,Nursing home/long term care facility,1955,29004,1399,544,,2818,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Florida,Other,1294,33499,1445,645,12,2105,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Florida,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Georgia,Total - All Places of Death,17647,146073,15211,9192,212,23866,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Georgia,"Healthcare setting, inpatient",12475,45463,11665,7636,155,16649,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Georgia,"Healthcare setting, outpatient or emergency room",828,13507,540,242,17,1142,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Georgia,"Healthcare setting, dead on arrival",40,1258,27,11,,57,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Georgia,Decedent's home,1078,48228,863,312,22,1651,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Georgia,Hospice facility,818,10371,925,349,,1403,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Georgia,Nursing home/long term care facility,2220,18597,1080,591,,2714,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Georgia,Other,188,8629,111,51,,250,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Georgia,Place of death unknown,0,20,0,0,0,0,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Hawaii,Total - All Places of Death,481,17032,1159,243,26,1423,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Hawaii,"Healthcare setting, inpatient",364,4417,782,218,18,946,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Hawaii,"Healthcare setting, outpatient or emergency room",17,1255,51,,,63,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Hawaii,"Healthcare setting, dead on arrival",0,679,17,0,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Hawaii,Decedent's home,40,6365,133,,,165,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Hawaii,Hospice facility,,929,43,0,,46,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Hawaii,Nursing home/long term care facility,43,1480,82,,,122,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Hawaii,Other,15,1907,51,,,63,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Hawaii,Place of death unknown,0,0,0,0,0,0,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Idaho,Total - All Places of Death,2131,22927,1755,963,35,2954,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Idaho,"Healthcare setting, inpatient",1141,5256,1132,691,17,1597,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Idaho,"Healthcare setting, outpatient or emergency room",39,793,33,,,66,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Idaho,"Healthcare setting, dead on arrival",0,23,0,0,0,0,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Idaho,Decedent's home,280,9613,234,98,10,424,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Idaho,Hospice facility,61,939,69,25,,106,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Idaho,Nursing home/long term care facility,587,5081,263,129,,724,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Idaho,Other,23,1222,24,11,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Idaho,Place of death unknown,0,0,0,0,0,0,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Illinois,Total - All Places of Death,22102,178155,19587,11116,227,30793,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Illinois,"Healthcare setting, inpatient",14393,55221,14766,9097,147,20202,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Illinois,"Healthcare setting, outpatient or emergency room",779,12380,567,241,12,1117,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Illinois,"Healthcare setting, dead on arrival",22,419,,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Illinois,Decedent's home,1486,59536,1285,382,24,2413,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Illinois,Hospice facility,480,6809,566,243,10,813,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Illinois,Nursing home/long term care facility,4354,31730,2085,1011,30,5458,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Illinois,Other,588,12060,312,137,,767,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Illinois,Place of death unknown,0,0,0,0,0,0,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Indiana,Total - All Places of Death,13359,108415,12065,6415,184,19185,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Indiana,"Healthcare setting, inpatient",7369,32914,8575,4998,129,11068,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Indiana,"Healthcare setting, outpatient or emergency room",241,4381,215,82,,379,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Indiana,"Healthcare setting, dead on arrival",,99,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Indiana,Decedent's home,868,36143,978,282,18,1582,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Indiana,Hospice facility,203,3954,386,139,,458,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Indiana,Nursing home/long term care facility,4502,25368,1768,852,22,5439,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Indiana,Other,173,5535,142,62,,255,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Indiana,Place of death unknown,0,21,0,0,0,0,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Iowa,Total - All Places of Death,6090,48389,4442,2132,100,8496,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Iowa,"Healthcare setting, inpatient",2872,12695,2712,1489,48,4139,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Iowa,"Healthcare setting, outpatient or emergency room",122,2222,89,32,,182,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Iowa,"Healthcare setting, dead on arrival",,63,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Iowa,Decedent's home,387,13515,361,81,12,679,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Iowa,Hospice facility,156,4031,322,45,12,445,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Iowa,Nursing home/long term care facility,2506,14329,927,477,24,2980,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Iowa,Other,43,1533,29,,0,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Iowa,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Kansas,Total - All Places of Death,4969,43354,4065,2108,126,7049,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Kansas,"Healthcare setting, inpatient",2786,12195,2792,1604,74,4045,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Kansas,"Healthcare setting, outpatient or emergency room",100,1721,89,34,,158,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Kansas,"Healthcare setting, dead on arrival",,47,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Kansas,Decedent's home,360,13768,321,91,15,605,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Kansas,Hospice facility,81,2070,165,30,12,228,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Kansas,Nursing home/long term care facility,1573,11302,650,336,22,1909,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Kansas,Other,68,2251,48,13,0,103,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Kansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Kentucky,Total - All Places of Death,7457,77482,8711,3741,154,12573,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Kentucky,"Healthcare setting, inpatient",4863,25678,6732,3153,106,8541,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Kentucky,"Healthcare setting, outpatient or emergency room",257,5876,226,68,,422,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Kentucky,"Healthcare setting, dead on arrival",,106,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Kentucky,Decedent's home,502,25650,683,174,22,1033,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Kentucky,Hospice facility,270,5707,343,61,14,566,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Kentucky,Nursing home/long term care facility,1502,10815,663,264,,1904,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Kentucky,Other,60,3643,62,19,0,103,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Kentucky,Place of death unknown,,,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Louisiana,Total - All Places of Death,9566,77878,7755,4867,102,12547,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Louisiana,"Healthcare setting, inpatient",7014,24399,5822,3915,75,8989,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Louisiana,"Healthcare setting, outpatient or emergency room",419,5197,360,189,,595,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Louisiana,"Healthcare setting, dead on arrival",,62,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Louisiana,Decedent's home,632,28445,531,180,16,998,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Louisiana,Hospice facility,304,3767,258,155,,410,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Louisiana,Nursing home/long term care facility,1093,11181,700,399,,1395,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Louisiana,Other,102,4827,82,28,,157,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Louisiana,Place of death unknown,0,0,0,0,0,0,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Maine,Total - All Places of Death,949,22260,1469,228,37,2227,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Maine,"Healthcare setting, inpatient",434,4938,851,169,26,1142,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Maine,"Healthcare setting, outpatient or emergency room",14,671,35,,,48,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Maine,"Healthcare setting, dead on arrival",,10,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Maine,Decedent's home,66,8359,208,12,,266,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Maine,Hospice facility,23,2289,85,,,105,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
